group_id,question_id
fe_junior_javascript_core_004,fe_junior_javascript_core_004
fe_junior_browser_dom_001,fe_junior_browser_dom_001
fe_junior_browser_dom_002,fe_junior_browser_dom_002
fe_junior_browser_dom_003,fe_junior_browser_dom_003
fe_junior_browser_dom_004,fe_junior_browser_dom_004
fe_junior_react_basics_001,fe_junior_react_basics_001
fe_junior_react_basics_002,fe_junior_react_basics_002
fe_junior_react_basics_003,fe_junior_react_basics_003
fe_junior_react_basics_004,fe_junior_react_basics_004
fe_junior_typescript_security_001,fe_junior_typescript_security_001
fe_junior_typescript_security_002,fe_junior_typescript_security_002
fe_junior_typescript_security_003,fe_junior_typescript_security_003
fe_junior_typescript_security_004,fe_junior_typescript_security_004
fe_middle_react_architecture_001,fe_middle_react_architecture_001
fe_middle_react_architecture_002,fe_middle_react_architecture_002
fe_middle_react_architecture_003,fe_middle_react_architecture_003
fe_middle_react_architecture_004,fe_middle_react_architecture_004
fe_middle_rendering_perf_001,fe_middle_rendering_perf_001
fe_middle_rendering_perf_002,fe_middle_rendering_perf_002
fe_middle_rendering_perf_003,fe_middle_rendering_perf_003
fe_middle_rendering_perf_004,fe_middle_rendering_perf_004
fe_middle_state_management_001,fe_middle_state_management_001
fe_middle_state_management_002,fe_middle_state_management_002
fe_middle_state_management_003,fe_middle_state_management_003
fe_middle_state_management_004,fe_middle_state_management_004
fe_middle_browser_security_001,fe_middle_browser_security_001
fe_middle_browser_security_002,fe_middle_browser_security_002
fe_middle_browser_security_003,fe_middle_browser_security_003
fe_middle_browser_security_004,fe_middle_browser_security_004
fe_middle_ssr_hydration_001,fe_middle_ssr_hydration_001
fe_middle_ssr_hydration_002,fe_middle_ssr_hydration_002
fe_middle_ssr_hydration_003,fe_middle_ssr_hydration_003
fe_middle_ssr_hydration_004,fe_middle_ssr_hydration_004
do_junior_linux_basics_001,do_junior_linux_basics_001
do_junior_linux_basics_002,do_junior_linux_basics_002
do_junior_linux_basics_003,do_junior_linux_basics_003
do_junior_linux_basics_004,do_junior_linux_basics_004
do_junior_docker_basics_001,do_junior_docker_basics_001
do_junior_docker_basics_002,do_junior_docker_basics_002
do_junior_docker_basics_003,do_junior_docker_basics_003
do_junior_docker_basics_004,do_junior_docker_basics_004
do_junior_cicd_basics_001,do_junior_cicd_basics_001
do_junior_cicd_basics_002,do_junior_cicd_basics_002
do_junior_cicd_basics_003,do_junior_cicd_basics_003
do_junior_cicd_basics_004,do_junior_cicd_basics_004
do_junior_git_iac_001,do_junior_git_iac_001
do_junior_git_iac_002,do_junior_git_iac_002
do_junior_git_iac_003,do_junior_git_iac_003
do_junior_git_iac_004,do_junior_git_iac_004
do_junior_network_logs_001,do_junior_network_logs_001
do_junior_network_logs_002,do_junior_network_logs_002
do_junior_network_logs_003,do_junior_network_logs_003
do_junior_network_logs_004,do_junior_network_logs_004
do_middle_kubernetes_001,do_middle_kubernetes_001
do_middle_kubernetes_002,do_middle_kubernetes_002
do_middle_kubernetes_003,do_middle_kubernetes_003
do_middle_kubernetes_004,do_middle_kubernetes_004
do_middle_deployments_001,do_middle_deployments_001
do_middle_deployments_002,do_middle_deployments_002
do_middle_deployments_003,do_middle_deployments_003
do_middle_deployments_004,do_middle_deployments_004
do_middle_observability_reliability_001,do_middle_observability_reliability_001
do_middle_observability_reliability_002,do_middle_observability_reliability_002
do_middle_observability_reliability_003,do_middle_observability_reliability_003
do_middle_observability_reliability_004,do_middle_observability_reliability_004
do_middle_terraform_iac_001,do_middle_terraform_iac_001
do_middle_terraform_iac_002,do_middle_terraform_iac_002
do_middle_terraform_iac_003,do_middle_terraform_iac_003
do_middle_terraform_iac_004,do_middle_terraform_iac_004
do_middle_cicd_design_001,do_middle_cicd_design_001
do_middle_cicd_design_002,do_middle_cicd_design_002
do_middle_cicd_design_003,do_middle_cicd_design_003
do_middle_cicd_design_004,do_middle_cicd_design_004
